column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_vs_plain_pct	winner_by_allocated_bytes	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages
SearchEngineID	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	1654.000000	1214.000000	-26.602177	rle-dict	1654.000000	1214.000000	1	0	1	0	0	0
SearchPhrase	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	12844.000000	11366.000000	-11.507319	rle-dict	12844.000000	11366.000000	1	0	1	0	0	0
Sex	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	1052.000000	935.000000	-11.121673	rle-dict	1052.000000	935.000000	1	0	1	0	0	0
SilverlightVersion2	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	671.000000	558.000000	-16.840537	rle-dict	671.000000	558.000000	1	0	1	0	0	0
Title	STRING	9	1	9	10000	0	9	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	232596.000000	148809.000000	-36.022546	rle-dict	232596.000000	148809.000000	0	0	0	0	9	1
TraficSourceID	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	2586.000000	1961.000000	-24.168600	rle-dict	2586.000000	1961.000000	1	0	1	0	0	0
URL	STRING	4	1	4	10000	0	4	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	90486.000000	73426.000000	-18.853745	rle-dict	90486.000000	73426.000000	0	0	0	0	4	1
URLCategoryID	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	430.000000	418.000000	-2.790698	rle-dict	430.000000	418.000000	1	0	1	0	0	0
UTMCampaign	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	630.000000	491.000000	-22.063492	rle-dict	630.000000	491.000000	1	0	1	0	0	0
UTMContent	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	264.000000	221.000000	-16.287879	rle-dict	264.000000	221.000000	1	0	1	0	0	0
UTMMedium	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	414.000000	307.000000	-25.845411	rle-dict	414.000000	307.000000	1	0	1	0	0	0
