column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_to_plain_ratio	best_pagewise_allocated_compressed_bytes	best_pagewise_savings_vs_plain_bytes	best_pagewise_allocated_to_plain_ratio	uncompressed_bytes_for_ratio	plain_zstd_aggregate_to_uncompressed_ratio	rle_dict_zstd_aggregate_to_uncompressed_ratio	best_pagewise_zstd_aggregate_to_uncompressed_ratio	rle_dict_ratio_advantage_vs_plain	absolute_plain_rle_ratio_difference	winner_by_allocated_bytes	rle_dict_allocated_compressed_bytes_without_dictionary_pages	rle_dict_without_dictionary_allocated_to_plain_ratio	winner_without_dictionary_pages	rle_dict_without_dictionary_overhead_flip_window_wins	rle_dict_without_dictionary_overhead_flip_window_win_pct	rle_dict_without_dictionary_overhead_flip_rows	rle_dict_without_dictionary_overhead_flip_row_pct	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	rle_dict_total_page_compressed_bytes_without_dictionary_pages	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages	plain_zstd_to_uncompressed_ratio_count	plain_zstd_to_uncompressed_ratio_min	plain_zstd_to_uncompressed_ratio_median	plain_zstd_to_uncompressed_ratio_max	rle_dict_zstd_to_uncompressed_ratio_count	rle_dict_zstd_to_uncompressed_ratio_min	rle_dict_zstd_to_uncompressed_ratio_median	rle_dict_zstd_to_uncompressed_ratio_max	plain_win_plain_zstd_to_uncompressed_ratio_count	plain_win_plain_zstd_to_uncompressed_ratio_min	plain_win_plain_zstd_to_uncompressed_ratio_median	plain_win_plain_zstd_to_uncompressed_ratio_max	plain_win_rle_dict_zstd_to_uncompressed_ratio_count	plain_win_rle_dict_zstd_to_uncompressed_ratio_min	plain_win_rle_dict_zstd_to_uncompressed_ratio_median	plain_win_rle_dict_zstd_to_uncompressed_ratio_max	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_count	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_min	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_median	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_max	rle_dict_win_plain_zstd_to_uncompressed_ratio_count	rle_dict_win_plain_zstd_to_uncompressed_ratio_min	rle_dict_win_plain_zstd_to_uncompressed_ratio_median	rle_dict_win_plain_zstd_to_uncompressed_ratio_max
OpenstatAdID	STRING	57	60	116	1000000	46	70	0	39.655172	60.344828	0.000000	329773	670227	0	32.977300	67.022700	0.000000	19026.000000	18400.000000	0.967098	17478.632597	1547.367403	0.918671	4029111.000000	0.004722	0.004567	0.004338	0.000155	0.000155	rle-dict	12011.000000	0.631294	rle-dict	32	27.586207	222835	22.283500	19026.000000	18400.000000	12011.000000	0	0	0	0	57	60	116	0.000641	0.004842	0.008959	116	0.001305	0.004616	0.008174	46	0.000641	0.002816	0.006983	46	0.001305	0.003650	0.008174	70	0.001370	0.005533	0.008145	70	0.001947	0.006059	0.008959
OpenstatSourceID	STRING	57	60	116	1000000	63	53	0	54.310345	45.689655	0.000000	502301	497699	0	50.230100	49.769900	0.000000	13322.000000	12930.000000	0.970575	11557.698357	1764.301643	0.867565	4051759.000000	0.003288	0.003191	0.002853	0.000097	0.000097	rle-dict	9015.000000	0.676700	rle-dict	8	6.896552	50013	5.001300	13322.000000	12930.000000	9015.000000	0	0	0	0	57	60	116	0.000641	0.002126	0.007188	116	0.001270	0.002528	0.005901	63	0.000641	0.000768	0.005069	63	0.001270	0.001513	0.005901	53	0.001534	0.004505	0.005852	53	0.001805	0.005451	0.007188
NetMajor	INT(16,true)	57	60	116	1000000	64	52	0	55.172414	44.827586	0.000000	500986	499014	0	50.098600	49.901400	0.000000	26145.000000	26304.000000	1.006081	24099.124616	2045.875384	0.921749	4003587.000000	0.006530	0.006570	0.006019	-0.000040	0.000040	plain	23688.000000	0.906024	rle-dict	23	19.827586	179992	17.999200	26145.000000	26304.000000	23688.000000	0	0	0	0	57	60	116	0.003430	0.005738	0.010876	116	0.003593	0.006892	0.009106	64	0.003430	0.004608	0.009005	64	0.003594	0.006007	0.009106	52	0.003593	0.007565	0.009105	52	0.004208	0.008707	0.010876
UTMTerm	STRING	57	60	116	1000000	52	64	0	44.827586	55.172414	0.000000	402277	597723	0	40.227700	59.772300	0.000000	15728.000000	16158.000000	1.027340	14115.203900	1612.796100	0.897457	4032776.000000	0.003900	0.004007	0.003500	-0.000107	0.000107	plain	10127.000000	0.643884	rle-dict	38	32.758621	300115	30.011500	15728.000000	16158.000000	10127.000000	0	0	0	0	57	60	116	0.000641	0.003811	0.016184	116	0.001305	0.003681	0.021155	52	0.000641	0.003518	0.016184	52	0.001305	0.004545	0.021155	64	0.001369	0.003549	0.009203	64	0.002128	0.003919	0.016184
ParamCurrency	STRING	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	5261.000000	6232.000000	1.184566	5236.915779	24.084221	0.995422	7003303.000000	0.000751	0.000890	0.000748	-0.000139	0.000139	plain	4132.000000	0.785402	rle-dict	114	98.275862	993054	99.305400	5261.000000	6232.000000	4132.000000	0	0	0	0	57	60	116	0.000711	0.000734	0.002935	116	0.000762	0.000879	0.002076	115	0.000711	0.000734	0.000801	115	0.000762	0.000879	0.002076	1	0.002073	0.002073	0.002073	1	0.002935	0.002935	0.002935
ParamPrice	INT(64,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	5725.000000	7492.000000	1.308646	5708.957673	16.042327	0.997198	8004440.000000	0.000715	0.000936	0.000713	-0.000221	0.000221	plain	5332.000000	0.931354	rle-dict	83	71.551724	764782	76.478200	5725.000000	7492.000000	5332.000000	0	0	0	0	57	60	116	0.000653	0.000683	0.002693	116	0.000802	0.000924	0.002194	115	0.000653	0.000681	0.000788	115	0.000802	0.000924	0.002194	1	0.002190	0.002190	0.002190	1	0.002693	0.002693	0.002693
SilverlightVersion3	INT(32,true)	57	60	116	1000000	70	46	0	60.344828	39.655172	0.000000	640580	359420	0	64.058000	35.942000	0.000000	123785.000000	124901.000000	1.009016	120463.607410	3321.392590	0.973168	4003588.000000	0.030919	0.031197	0.030089	-0.000279	0.000279	plain	117581.000000	0.949881	rle-dict	39	33.620690	399313	39.931300	123785.000000	124901.000000	117581.000000	0	0	0	0	57	60	116	0.024422	0.030080	0.052424	116	0.026048	0.030079	0.047061	70	0.024422	0.027380	0.044999	70	0.026051	0.029123	0.046548	46	0.026048	0.031670	0.047061	46	0.026136	0.033014	0.052424
UTMContent	STRING	57	60	116	1000000	65	51	0	56.034483	43.965517	0.000000	577387	422613	0	57.738700	42.261300	0.000000	13966.000000	15105.000000	1.081555	13056.590971	909.409029	0.934884	4016539.000000	0.003477	0.003761	0.003251	-0.000284	0.000284	plain	9473.000000	0.678290	rle-dict	50	43.103448	481935	48.193500	13966.000000	15105.000000	9473.000000	0	0	0	0	57	60	116	0.000641	0.003405	0.008679	116	0.001305	0.003398	0.011486	65	0.000641	0.003097	0.008679	65	0.001305	0.003701	0.011486	51	0.001362	0.003288	0.007304	51	0.001715	0.003750	0.008679
JavascriptEnable	INT(16,true)	57	60	116	1000000	101	15	0	87.068966	12.931034	0.000000	934689	65311	0	93.468900	6.531100	0.000000	6510.000000	7740.000000	1.188940	6458.948987	51.051013	0.992158	4003542.000000	0.001626	0.001933	0.001613	-0.000307	0.000307	plain	5608.000000	0.861444	rle-dict	69	59.482759	719180	71.918000	6510.000000	7740.000000	5608.000000	0	0	0	0	57	60	116	0.001093	0.001543	0.005128	116	0.001551	0.001822	0.004708	101	0.001093	0.001470	0.004097	101	0.001552	0.001823	0.004708	15	0.001551	0.001752	0.003657	15	0.001619	0.001972	0.005128
CodeVersion	INT(32,true)	57	60	116	1000000	103	13	0	88.793103	11.206897	0.000000	953155	46845	0	95.315500	4.684500	0.000000	7064.000000	8314.000000	1.176954	7012.664304	51.335696	0.992733	4003550.000000	0.001764	0.002077	0.001752	-0.000312	0.000312	plain	6086.000000	0.861552	rle-dict	77	66.379310	809878	80.987800	7064.000000	8314.000000	6086.000000	0	0	0	0	57	60	116	0.001093	0.001665	0.005815	116	0.001551	0.002021	0.004708	103	0.001093	0.001634	0.004462	103	0.001552	0.002026	0.004708	13	0.001551	0.001825	0.004088	13	0.001634	0.001989	0.005815
CookieEnable	INT(16,true)	57	60	116	1000000	102	14	0	87.931034	12.068966	0.000000	958225	41775	0	95.822500	4.177500	0.000000	6094.000000	7425.000000	1.218412	6030.152727	63.847273	0.989523	4003537.000000	0.001522	0.001855	0.001506	-0.000332	0.000332	plain	5337.000000	0.875779	rle-dict	73	62.931034	808079	80.807900	6094.000000	7425.000000	5337.000000	0	0	0	0	57	60	116	0.001116	0.001368	0.005940	116	0.001346	0.001747	0.004850	102	0.001116	0.001333	0.004645	102	0.001346	0.001784	0.004850	14	0.001487	0.001586	0.004088	14	0.001510	0.001777	0.005940
GoodEvent	INT(16,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	4925.000000	6292.000000	1.277563	4901.489202	23.510798	0.995226	4003531.000000	0.001230	0.001572	0.001224	-0.000341	0.000341	plain	4372.000000	0.887716	rle-dict	98	84.482759	855793	85.579300	4925.000000	6292.000000	4372.000000	0	0	0	0	57	60	116	0.001093	0.001142	0.005128	116	0.001346	0.001553	0.003668	115	0.001093	0.001139	0.001401	115	0.001346	0.001552	0.003668	1	0.003657	0.003657	0.003657	1	0.005128	0.005128	0.005128
EventDate	DATE	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	4923.000000	6292.000000	1.278082	4899.489202	23.510798	0.995224	4003529.000000	0.001230	0.001572	0.001224	-0.000342	0.000342	plain	4372.000000	0.888076	rle-dict	98	84.482759	855793	85.579300	4923.000000	6292.000000	4372.000000	0	0	0	0	57	60	116	0.001093	0.001142	0.005128	116	0.001346	0.001553	0.003668	115	0.001093	0.001139	0.001401	115	0.001346	0.001552	0.003668	1	0.003657	0.003657	0.003657	1	0.005128	0.005128	0.005128
CounterID	INT(32,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	4941.000000	6343.000000	1.283748	4917.489202	23.510798	0.995242	4003530.000000	0.001234	0.001584	0.001228	-0.000350	0.000350	plain	4399.000000	0.890306	rle-dict	98	84.482759	860849	86.084900	4941.000000	6343.000000	4399.000000	0	0	0	0	57	60	116	0.001093	0.001224	0.005128	116	0.001346	0.001556	0.003668	115	0.001093	0.001187	0.001401	115	0.001346	0.001556	0.003668	1	0.003657	0.003657	0.003657	1	0.005128	0.005128	0.005128
IsDownload	INT(16,true)	57	60	116	1000000	96	20	0	82.758621	17.241379	0.000000	852847	147153	0	85.284700	14.715300	0.000000	8096.000000	9596.000000	1.185277	7861.940677	234.059323	0.971090	4003551.000000	0.002022	0.002397	0.001964	-0.000375	0.000375	plain	7568.000000	0.934783	rle-dict	56	48.275862	616741	61.674100	8096.000000	9596.000000	7568.000000	0	0	0	0	57	60	116	0.000942	0.001128	0.007691	116	0.001346	0.001584	0.005214	96	0.000942	0.001120	0.004246	96	0.001346	0.001567	0.005214	20	0.001617	0.003602	0.005199	20	0.001922	0.003993	0.007691
CLID	INT(32,true)	57	60	116	1000000	109	7	0	93.965517	6.034483	0.000000	951412	48588	0	95.141200	4.858800	0.000000	5641.000000	7234.000000	1.282397	5599.250317	41.749683	0.992599	4003542.000000	0.001409	0.001807	0.001399	-0.000398	0.000398	plain	5230.000000	0.927141	rle-dict	80	68.965517	823352	82.335200	5641.000000	7234.000000	5230.000000	0	0	0	0	57	60	116	0.000942	0.001129	0.006378	116	0.001346	0.001617	0.004171	109	0.000942	0.001127	0.002228	109	0.001346	0.001581	0.004171	7	0.001736	0.002125	0.004159	7	0.001757	0.002133	0.006378
MobilePhone	INT(16,true)	57	60	116	1000000	79	37	0	68.103448	31.896552	0.000000	714212	285788	0	71.421200	28.578800	0.000000	22518.000000	24212.000000	1.075229	21802.078727	715.921273	0.968207	4003586.000000	0.005624	0.006048	0.005446	-0.000423	0.000423	plain	20654.000000	0.917222	rle-dict	41	35.344828	363882	36.388200	22518.000000	24212.000000	20654.000000	0	0	0	0	57	60	116	0.002989	0.005814	0.009801	116	0.004169	0.006058	0.011182	79	0.002989	0.004601	0.009692	79	0.004170	0.005706	0.011182	37	0.004169	0.006493	0.008476	37	0.004601	0.006994	0.009801
SocialSourceNetworkID	INT(16,true)	57	60	116	1000000	112	4	0	96.551724	3.448276	0.000000	995467	4533	0	99.546700	0.453300	0.000000	5318.000000	7223.000000	1.358217	5305.162613	12.837387	0.997586	4003530.000000	0.001328	0.001804	0.001325	-0.000476	0.000476	plain	5036.000000	0.946973	rle-dict	67	57.758621	731145	73.114500	5318.000000	7223.000000	5036.000000	0	0	0	0	57	60	116	0.000958	0.001270	0.004440	116	0.001348	0.001800	0.003668	112	0.000958	0.001248	0.002044	112	0.001348	0.001801	0.003668	4	0.001348	0.001567	0.003657	4	0.001411	0.001866	0.004440
SilverlightVersion4	INT(16,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	4368.000000	6401.000000	1.465430	4355.489202	12.510798	0.997136	4003528.000000	0.001091	0.001599	0.001088	-0.000508	0.000508	plain	4447.000000	1.018086	plain	58	50.000000	637250	63.725000	4368.000000	6401.000000	4447.000000	0	0	0	0	57	60	116	0.000953	0.001114	0.004440	116	0.001346	0.001559	0.003668	115	0.000953	0.001114	0.001390	115	0.001346	0.001558	0.003668	1	0.003657	0.003657	0.003657	1	0.004440	0.004440	0.004440
CounterClass	INT(16,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	4240.000000	6292.000000	1.483962	4227.489202	12.510798	0.997049	4003529.000000	0.001059	0.001572	0.001056	-0.000513	0.000513	plain	4372.000000	1.031132	plain	57	49.137931	632691	63.269100	4240.000000	6292.000000	4372.000000	0	0	0	0	57	60	116	0.000942	0.000984	0.004440	116	0.001346	0.001553	0.003668	115	0.000942	0.000982	0.001203	115	0.001346	0.001552	0.003668	1	0.003657	0.003657	0.003657	1	0.004440	0.004440	0.004440
HTTPError	INT(16,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	4240.000000	6292.000000	1.483962	4227.489202	12.510798	0.997049	4003529.000000	0.001059	0.001572	0.001056	-0.000513	0.000513	plain	4372.000000	1.031132	plain	57	49.137931	632691	63.269100	4240.000000	6292.000000	4372.000000	0	0	0	0	57	60	116	0.000942	0.000984	0.004440	116	0.001346	0.001553	0.003668	115	0.000942	0.000982	0.001203	115	0.001346	0.001552	0.003668	1	0.003657	0.003657	0.003657	1	0.004440	0.004440	0.004440
IsEvent	INT(16,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	4240.000000	6292.000000	1.483962	4227.489202	12.510798	0.997049	4003529.000000	0.001059	0.001572	0.001056	-0.000513	0.000513	plain	4372.000000	1.031132	plain	57	49.137931	632691	63.269100	4240.000000	6292.000000	4372.000000	0	0	0	0	57	60	116	0.000942	0.000984	0.004440	116	0.001346	0.001553	0.003668	115	0.000942	0.000982	0.001203	115	0.001346	0.001552	0.003668	1	0.003657	0.003657	0.003657	1	0.004440	0.004440	0.004440
IsOldCounter	INT(16,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	4240.000000	6292.000000	1.483962	4227.489202	12.510798	0.997049	4003529.000000	0.001059	0.001572	0.001056	-0.000513	0.000513	plain	4372.000000	1.031132	plain	57	49.137931	632691	63.269100	4240.000000	6292.000000	4372.000000	0	0	0	0	57	60	116	0.000942	0.000984	0.004440	116	0.001346	0.001553	0.003668	115	0.000942	0.000982	0.001203	115	0.001346	0.001552	0.003668	1	0.003657	0.003657	0.003657	1	0.004440	0.004440	0.004440
IsParameter	INT(16,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	4240.000000	6292.000000	1.483962	4227.489202	12.510798	0.997049	4003529.000000	0.001059	0.001572	0.001056	-0.000513	0.000513	plain	4372.000000	1.031132	plain	57	49.137931	632691	63.269100	4240.000000	6292.000000	4372.000000	0	0	0	0	57	60	116	0.000942	0.000984	0.004440	116	0.001346	0.001553	0.003668	115	0.000942	0.000982	0.001203	115	0.001346	0.001552	0.003668	1	0.003657	0.003657	0.003657	1	0.004440	0.004440	0.004440
ParamCurrencyID	INT(16,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	4240.000000	6292.000000	1.483962	4227.489202	12.510798	0.997049	4003529.000000	0.001059	0.001572	0.001056	-0.000513	0.000513	plain	4372.000000	1.031132	plain	57	49.137931	632691	63.269100	4240.000000	6292.000000	4372.000000	0	0	0	0	57	60	116	0.000942	0.000984	0.004440	116	0.001346	0.001553	0.003668	115	0.000942	0.000982	0.001203	115	0.001346	0.001552	0.003668	1	0.003657	0.003657	0.003657	1	0.004440	0.004440	0.004440
WithHash	INT(16,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	4240.000000	6292.000000	1.483962	4227.489202	12.510798	0.997049	4003529.000000	0.001059	0.001572	0.001056	-0.000513	0.000513	plain	4372.000000	1.031132	plain	57	49.137931	632691	63.269100	4240.000000	6292.000000	4372.000000	0	0	0	0	57	60	116	0.000942	0.000984	0.004440	116	0.001346	0.001553	0.003668	115	0.000942	0.000982	0.001203	115	0.001346	0.001552	0.003668	1	0.003657	0.003657	0.003657	1	0.004440	0.004440	0.004440
OpenerName	INT(32,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	996017	3983	0	99.601700	0.398300	0.000000	4239.000000	6292.000000	1.484312	4226.489202	12.510798	0.997049	4003528.000000	0.001059	0.001572	0.001056	-0.000513	0.000513	plain	4372.000000	1.031375	plain	56	48.275862	613374	61.337400	4239.000000	6292.000000	4372.000000	0	0	0	0	57	60	116	0.000929	0.000984	0.004440	116	0.001346	0.001553	0.003668	115	0.000929	0.000982	0.001203	115	0.001346	0.001552	0.003668	1	0.003657	0.003657	0.003657	1	0.004440	0.004440	0.004440
SocialSourcePage	STRING	57	60	116	1000000	102	14	0	87.931034	12.068966	0.000000	962871	37129	0	96.287100	3.712900	0.000000	4856.000000	6940.000000	1.429160	4759.791848	96.208152	0.980188	4003989.000000	0.001213	0.001733	0.001189	-0.000520	0.000520	plain	4352.000000	0.896211	rle-dict	36	31.034483	359772	35.977200	4856.000000	6940.000000	4352.000000	0	0	0	0	57	60	116	0.000648	0.000779	0.002943	116	0.001141	0.001519	0.003449	102	0.000648	0.000767	0.002943	102	0.001142	0.001590	0.003449	14	0.001141	0.001296	0.001818	14	0.001357	0.002002	0.002806
ParamOrderID	STRING	57	60	116	1000000	116	0	0	100.000000	0.000000	0.000000	1000000	0	0	100.000000	0.000000	0.000000	2872.000000	5332.000000	1.856546	2872.000000	0.000000	1.000000	4002161.000000	0.000718	0.001332	0.000718	-0.000615	0.000615	plain	3412.000000	1.188022	plain	15	12.931034	7400	0.740000	2872.000000	5332.000000	3412.000000	0	0	0	0	57	60	116	0.000641	0.000669	0.002943	116	0.001139	0.001316	0.003093	116	0.000641	0.000669	0.002943	116	0.001139	0.001316	0.003093	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000
Params	STRING	57	60	116	1000000	116	0	0	100.000000	0.000000	0.000000	1000000	0	0	100.000000	0.000000	0.000000	2872.000000	5332.000000	1.856546	2872.000000	0.000000	1.000000	4002161.000000	0.000718	0.001332	0.000718	-0.000615	0.000615	plain	3412.000000	1.188022	plain	15	12.931034	7400	0.740000	2872.000000	5332.000000	3412.000000	0	0	0	0	57	60	116	0.000641	0.000669	0.002943	116	0.001139	0.001316	0.003093	116	0.000641	0.000669	0.002943	116	0.001139	0.001316	0.003093	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000
SocialAction	STRING	57	60	116	1000000	116	0	0	100.000000	0.000000	0.000000	1000000	0	0	100.000000	0.000000	0.000000	2872.000000	5332.000000	1.856546	2872.000000	0.000000	1.000000	4002161.000000	0.000718	0.001332	0.000718	-0.000615	0.000615	plain	3412.000000	1.188022	plain	15	12.931034	7400	0.740000	2872.000000	5332.000000	3412.000000	0	0	0	0	57	60	116	0.000641	0.000669	0.002943	116	0.001139	0.001316	0.003093	116	0.000641	0.000669	0.002943	116	0.001139	0.001316	0.003093	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000
SocialNetwork	STRING	57	60	116	1000000	116	0	0	100.000000	0.000000	0.000000	1000000	0	0	100.000000	0.000000	0.000000	2872.000000	5332.000000	1.856546	2872.000000	0.000000	1.000000	4002161.000000	0.000718	0.001332	0.000718	-0.000615	0.000615	plain	3412.000000	1.188022	plain	15	12.931034	7400	0.740000	2872.000000	5332.000000	3412.000000	0	0	0	0	57	60	116	0.000641	0.000669	0.002943	116	0.001139	0.001316	0.003093	116	0.000641	0.000669	0.002943	116	0.001139	0.001316	0.003093	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000
OS	INT(16,true)	57	60	116	1000000	85	31	0	73.275862	26.724138	0.000000	739875	260125	0	73.987500	26.012500	0.000000	105905.000000	121811.000000	1.150191	104069.949406	1835.050594	0.982673	4003587.000000	0.026453	0.030425	0.025994	-0.003973	0.003973	plain	114162.000000	1.077966	plain	18	15.517241	170271	17.027100	105905.000000	121811.000000	114162.000000	0	0	0	0	57	60	116	0.013235	0.029781	0.045263	116	0.024852	0.030126	0.046963	85	0.013235	0.020808	0.045009	85	0.024852	0.026987	0.046963	31	0.025840	0.032288	0.045225	31	0.030426	0.033495	0.045263
ResolutionWidth	INT(16,true)	57	60	116	1000000	102	14	0	87.931034	12.068966	0.000000	868251	131749	0	86.825100	13.174900	0.000000	187141.000000	205670.000000	1.099011	186465.934275	675.065725	0.996393	4003584.000000	0.046743	0.051371	0.046575	-0.004628	0.004628	plain	185893.000000	0.993331	rle-dict	45	38.793103	336309	33.630900	187141.000000	205670.000000	185893.000000	0	0	0	0	57	60	116	0.036568	0.046252	0.073651	116	0.043267	0.049834	0.072840	102	0.036568	0.042562	0.069904	102	0.043267	0.049627	0.072840	14	0.044316	0.050231	0.072765	14	0.046252	0.051141	0.073651
SendTiming	INT(32,true)	57	60	116	1000000	112	4	0	96.551724	3.448276	0.000000	962463	37537	0	96.246300	3.753700	0.000000	61444.000000	80125.000000	1.304033	59621.993194	1822.006806	0.970347	4003537.000000	0.015347	0.020014	0.014892	-0.004666	0.004666	plain	55926.000000	0.910195	rle-dict	76	65.517241	804538	80.453800	61444.000000	80125.000000	55926.000000	0	0	0	0	57	60	116	0.000953	0.001149	0.189568	116	0.001346	0.001694	0.239365	112	0.000953	0.001139	0.189568	112	0.001346	0.001693	0.239365	4	0.001691	0.001732	0.061010	4	0.001787	0.002391	0.095743
ResolutionHeight	INT(16,true)	57	60	116	1000000	111	5	0	95.689655	4.310345	0.000000	960461	39539	0	96.046100	3.953900	0.000000	186024.000000	208351.000000	1.120022	185730.576702	293.423298	0.998423	4003586.000000	0.046464	0.052041	0.046391	-0.005577	0.005577	plain	185847.000000	0.999049	rle-dict	50	43.103448	402029	40.202900	186024.000000	208351.000000	185847.000000	0	0	0	0	57	60	116	0.036160	0.046084	0.073118	116	0.043112	0.051107	0.077159	111	0.036160	0.044088	0.073118	111	0.043112	0.051111	0.077159	5	0.045429	0.046419	0.066677	5	0.046046	0.050618	0.068525
DNSTiming	INT(32,true)	57	60	116	1000000	102	14	0	87.931034	12.068966	0.000000	891026	108974	0	89.102600	10.897400	0.000000	135564.000000	158368.000000	1.168216	134858.968097	705.031903	0.994799	4003585.000000	0.033861	0.039557	0.033685	-0.005696	0.005696	plain	121253.000000	0.894434	rle-dict	92	79.310345	838014	83.801400	135564.000000	158368.000000	121253.000000	0	0	0	0	57	60	116	0.017361	0.036388	0.072030	116	0.022212	0.041041	0.093832	102	0.017361	0.025310	0.072030	102	0.022212	0.030405	0.093832	14	0.037538	0.043927	0.050159	14	0.039677	0.044380	0.057003
UserAgentMajor	INT(16,true)	57	60	116	1000000	96	20	0	82.758621	17.241379	0.000000	813364	186636	0	81.336400	18.663600	0.000000	154189.000000	180166.000000	1.168475	152823.016742	1365.983258	0.991141	4003585.000000	0.038513	0.045001	0.038172	-0.006488	0.006488	plain	171314.000000	1.111065	plain	24	20.689655	207761	20.776100	154189.000000	180166.000000	171314.000000	0	0	0	0	57	60	116	0.018623	0.040083	0.063361	116	0.038973	0.043758	0.064088	96	0.018623	0.035409	0.063361	96	0.038973	0.043654	0.064088	20	0.039631	0.044360	0.062396	20	0.041313	0.045611	0.063361
ConnectTiming	INT(32,true)	57	60	116	1000000	107	9	0	92.241379	7.758621	0.000000	979098	20902	0	97.909800	2.090200	0.000000	333314.000000	380387.000000	1.141227	333253.021593	60.978407	0.999817	4003600.000000	0.083254	0.095011	0.083238	-0.011758	0.011758	plain	290123.000000	0.870419	rle-dict	101	87.068966	960340	96.034000	333314.000000	380387.000000	290123.000000	0	0	0	0	57	60	116	0.038599	0.086658	0.130182	116	0.043169	0.109108	0.154128	107	0.038599	0.103548	0.130182	107	0.043169	0.118808	0.154128	9	0.045598	0.052322	0.056205	9	0.047632	0.056085	0.062826
RegionID	INT(32,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	991605	8395	0	99.160500	0.839500	0.000000	191174.000000	248192.000000	1.298252	191151.333504	22.666496	0.999881	4003586.000000	0.047751	0.061992	0.047745	-0.014242	0.014242	plain	199962.000000	1.045969	plain	43	37.068966	363008	36.300800	191174.000000	248192.000000	199962.000000	0	0	0	0	57	60	116	0.034518	0.048718	0.090677	116	0.045375	0.056382	0.135463	115	0.034518	0.048718	0.090677	115	0.045375	0.056388	0.135463	1	0.054502	0.054502	0.054502	1	0.055176	0.055176	0.055176
Robotness	INT(16,true)	57	60	116	1000000	115	1	0	99.137931	0.862069	0.000000	998589	1411	0	99.858900	0.141100	0.000000	173697.000000	243015.000000	1.399074	173680.441956	16.558044	0.999905	4003586.000000	0.043385	0.060699	0.043381	-0.017314	0.017314	plain	207445.000000	1.194292	plain	7	6.034483	74863	7.486300	173697.000000	243015.000000	207445.000000	0	0	0	0	57	60	116	0.026178	0.043231	0.069513	116	0.047064	0.059885	0.088932	115	0.026178	0.043231	0.069513	115	0.047064	0.059021	0.088932	1	0.064474	0.064474	0.064474	1	0.067406	0.067406	0.067406
WindowName	INT(32,true)	57	60	116	1000000	98	18	0	84.482759	15.517241	0.000000	949167	50833	0	94.916700	5.083300	0.000000	70817.000000	148984.000000	2.103789	70003.391443	813.608557	0.988511	4003578.000000	0.017688	0.037213	0.017485	-0.019524	0.019524	plain	73461.000000	1.037336	plain	74	63.793103	821351	82.135100	70817.000000	148984.000000	73461.000000	0	0	0	0	57	60	116	0.001313	0.002270	0.209216	116	0.001569	0.002572	0.448477	98	0.001313	0.002162	0.209216	98	0.001570	0.002639	0.448477	18	0.001569	0.002053	0.079249	18	0.001846	0.002430	0.094152
