column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_to_plain_ratio	best_pagewise_allocated_compressed_bytes	best_pagewise_savings_vs_plain_bytes	best_pagewise_allocated_to_plain_ratio	uncompressed_bytes_for_ratio	plain_zstd_aggregate_to_uncompressed_ratio	rle_dict_zstd_aggregate_to_uncompressed_ratio	best_pagewise_zstd_aggregate_to_uncompressed_ratio	rle_dict_ratio_advantage_vs_plain	absolute_plain_rle_ratio_difference	winner_by_allocated_bytes	rle_dict_allocated_compressed_bytes_without_dictionary_pages	rle_dict_without_dictionary_allocated_to_plain_ratio	winner_without_dictionary_pages	rle_dict_without_dictionary_overhead_flip_window_wins	rle_dict_without_dictionary_overhead_flip_window_win_pct	rle_dict_without_dictionary_overhead_flip_rows	rle_dict_without_dictionary_overhead_flip_row_pct	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	rle_dict_total_page_compressed_bytes_without_dictionary_pages	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages	plain_zstd_to_uncompressed_ratio_count	plain_zstd_to_uncompressed_ratio_min	plain_zstd_to_uncompressed_ratio_median	plain_zstd_to_uncompressed_ratio_max	rle_dict_zstd_to_uncompressed_ratio_count	rle_dict_zstd_to_uncompressed_ratio_min	rle_dict_zstd_to_uncompressed_ratio_median	rle_dict_zstd_to_uncompressed_ratio_max	plain_win_plain_zstd_to_uncompressed_ratio_count	plain_win_plain_zstd_to_uncompressed_ratio_min	plain_win_plain_zstd_to_uncompressed_ratio_median	plain_win_plain_zstd_to_uncompressed_ratio_max	plain_win_rle_dict_zstd_to_uncompressed_ratio_count	plain_win_rle_dict_zstd_to_uncompressed_ratio_min	plain_win_rle_dict_zstd_to_uncompressed_ratio_median	plain_win_rle_dict_zstd_to_uncompressed_ratio_max	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_count	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_min	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_median	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_max	rle_dict_win_plain_zstd_to_uncompressed_ratio_count	rle_dict_win_plain_zstd_to_uncompressed_ratio_min	rle_dict_win_plain_zstd_to_uncompressed_ratio_median	rle_dict_win_plain_zstd_to_uncompressed_ratio_max
UserAgent	INT(16,true)	57	60	116	1000000	36	80	0	31.034483	68.965517	0.000000	276895	723105	0	27.689500	72.310500	0.000000	135169.000000	125928.000000	0.931634	119679.883676	15489.116324	0.885409	4003586.000000	0.033762	0.031454	0.029893	0.002308	0.002308	rle-dict	120598.000000	0.892202	rle-dict	9	7.758621	40329	4.032900	135169.000000	125928.000000	120598.000000	0	0	0	0	57	60	116	0.018515	0.034056	0.055991	116	0.026148	0.030164	0.052285	36	0.018515	0.025026	0.051680	36	0.026256	0.030010	0.052285	80	0.026148	0.030394	0.052276	80	0.028766	0.035858	0.055991
IsNotBounce	INT(16,true)	57	60	116	1000000	102	14	0	87.931034	12.068966	0.000000	874119	125881	0	87.411900	12.588100	0.000000	25193.000000	17680.000000	0.701782	15935.485282	9257.514718	0.632536	4003535.000000	0.006293	0.004416	0.003980	0.001877	0.001877	rle-dict	15628.000000	0.620331	rle-dict	70	60.344828	742589	74.258900	25193.000000	17680.000000	15628.000000	0	0	0	0	57	60	116	0.000953	0.001149	0.067074	116	0.001346	0.001694	0.037166	102	0.000953	0.001128	0.033331	102	0.001346	0.001579	0.035353	14	0.001691	0.032638	0.037166	14	0.001787	0.057113	0.067074
AdvEngineID	INT(16,true)	57	60	116	1000000	51	65	0	43.965517	56.034483	0.000000	431822	568178	0	43.182200	56.817800	0.000000	30696.000000	23249.000000	0.757395	22361.574263	8334.425737	0.728485	4003573.000000	0.007667	0.005807	0.005585	0.001860	0.001860	rle-dict	20921.000000	0.681555	rle-dict	37	31.896552	291415	29.141500	30696.000000	23249.000000	20921.000000	0	0	0	0	57	60	116	0.001298	0.003198	0.015532	116	0.001784	0.004446	0.010419	51	0.001298	0.001962	0.003198	51	0.001784	0.002436	0.004638	65	0.001784	0.009070	0.010419	65	0.001962	0.013152	0.015532
URLRegionID	INT(32,true)	57	60	116	1000000	8	108	0	6.896552	93.103448	0.000000	44477	955523	0	4.447700	95.552300	0.000000	48124.000000	40697.000000	0.845670	40598.589844	7525.410156	0.843625	4003587.000000	0.012020	0.010165	0.010141	0.001855	0.001855	rle-dict	35976.000000	0.747569	rle-dict	5	4.310345	24449	2.444900	48124.000000	40697.000000	35976.000000	0	0	0	0	57	60	116	0.005608	0.009349	0.020306	116	0.004517	0.007979	0.019778	8	0.005608	0.006428	0.016864	8	0.006442	0.007317	0.016909	108	0.004517	0.008203	0.019778	108	0.005608	0.010655	0.020306
SilverlightVersion1	INT(16,true)	57	60	116	1000000	31	85	0	26.724138	73.275862	0.000000	269583	730417	0	26.958300	73.041700	0.000000	90600.000000	84773.000000	0.935684	81236.149018	9363.850982	0.896646	4003585.000000	0.022630	0.021174	0.020291	0.001455	0.001455	rle-dict	81744.000000	0.902252	rle-dict	4	3.448276	37912	3.791200	90600.000000	84773.000000	81744.000000	0	0	0	0	57	60	116	0.011178	0.023295	0.038629	116	0.017464	0.020763	0.031274	31	0.011178	0.016975	0.024439	31	0.017467	0.019333	0.027913	85	0.017464	0.021764	0.031274	85	0.017644	0.024974	0.038629
FromTag	STRING	57	60	116	1000000	63	53	0	54.310345	45.689655	0.000000	572451	427549	0	57.245100	42.754900	0.000000	28372.000000	22821.000000	0.804349	21535.898599	6836.101401	0.759055	4048288.000000	0.007008	0.005637	0.005320	0.001371	0.001371	rle-dict	18130.000000	0.639010	rle-dict	19	16.379310	58449	5.844900	28372.000000	22821.000000	18130.000000	0	0	0	0	57	60	116	0.000648	0.002648	0.018763	116	0.001139	0.003279	0.013185	63	0.000648	0.000758	0.003787	63	0.001139	0.001319	0.005181	53	0.003277	0.011230	0.013185	53	0.003787	0.014835	0.018763
FlashMajor	INT(16,true)	57	60	116	1000000	35	81	0	30.172414	69.827586	0.000000	321814	678186	0	32.181400	67.818600	0.000000	53604.000000	49164.000000	0.917170	47100.095242	6503.904758	0.878668	4003586.000000	0.013389	0.012280	0.011764	0.001109	0.001109	rle-dict	46142.000000	0.860794	rle-dict	11	9.482759	139864	13.986400	53604.000000	49164.000000	46142.000000	0	0	0	0	57	60	116	0.010068	0.013326	0.018213	116	0.009516	0.012567	0.015636	35	0.010068	0.011506	0.014368	35	0.011339	0.013473	0.015635	81	0.009516	0.011589	0.015636	81	0.012378	0.013916	0.018213
HasGCLID	INT(16,true)	57	60	116	1000000	61	55	0	52.586207	47.413793	0.000000	504977	495023	0	50.497700	49.502300	0.000000	21186.000000	17019.000000	0.803314	15786.219834	5399.780166	0.745125	4003558.000000	0.005292	0.004251	0.003943	0.001041	0.001041	rle-dict	14983.000000	0.707212	rle-dict	16	13.793103	148180	14.818000	21186.000000	17019.000000	14983.000000	0	0	0	0	57	60	116	0.000942	0.002522	0.011600	116	0.001498	0.003192	0.009593	61	0.000942	0.000982	0.009452	61	0.001498	0.001617	0.009593	55	0.001814	0.006649	0.009493	55	0.002522	0.009415	0.011600
HistoryLength	INT(16,true)	57	60	116	1000000	89	27	0	76.724138	23.275862	0.000000	865995	134005	0	86.599500	13.400500	0.000000	55137.000000	51071.000000	0.926256	47865.160027	7271.839973	0.868113	4003572.000000	0.013772	0.012756	0.011956	0.001016	0.001016	rle-dict	46690.000000	0.846800	rle-dict	68	58.620690	790221	79.022100	55137.000000	51071.000000	46690.000000	0	0	0	0	57	60	116	0.001235	0.001998	0.156900	116	0.001492	0.002234	0.151351	89	0.001235	0.001895	0.131915	89	0.001492	0.002269	0.140369	27	0.001492	0.002111	0.151351	27	0.001643	0.002601	0.156900
IsMobile	INT(16,true)	57	60	116	1000000	33	83	0	28.448276	71.551724	0.000000	297984	702016	0	29.798400	70.201600	0.000000	28686.000000	24770.000000	0.863487	24165.592671	4520.407329	0.842418	4003583.000000	0.007165	0.006187	0.006036	0.000978	0.000978	rle-dict	22610.000000	0.788189	rle-dict	18	15.517241	186736	18.673600	28686.000000	24770.000000	22610.000000	0	0	0	0	57	60	116	0.003748	0.007297	0.011317	116	0.004329	0.006241	0.010787	33	0.003748	0.005672	0.009367	33	0.004329	0.006279	0.010787	83	0.004329	0.006240	0.010756	83	0.004653	0.007982	0.011317
