column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_to_plain_ratio	uncompressed_bytes_for_ratio	plain_snappy_aggregate_to_uncompressed_ratio	rle_dict_snappy_aggregate_to_uncompressed_ratio	rle_dict_ratio_advantage_vs_plain	absolute_plain_rle_ratio_difference	winner_by_allocated_bytes	rle_dict_allocated_compressed_bytes_without_dictionary_pages	rle_dict_without_dictionary_allocated_to_plain_ratio	winner_without_dictionary_pages	rle_dict_without_dictionary_overhead_flip_window_wins	rle_dict_without_dictionary_overhead_flip_window_win_pct	rle_dict_without_dictionary_overhead_flip_rows	rle_dict_without_dictionary_overhead_flip_row_pct	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	rle_dict_total_page_compressed_bytes_without_dictionary_pages	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages	plain_snappy_to_uncompressed_ratio_count	plain_snappy_to_uncompressed_ratio_min	plain_snappy_to_uncompressed_ratio_median	plain_snappy_to_uncompressed_ratio_max	rle_dict_snappy_to_uncompressed_ratio_count	rle_dict_snappy_to_uncompressed_ratio_min	rle_dict_snappy_to_uncompressed_ratio_median	rle_dict_snappy_to_uncompressed_ratio_max	plain_win_plain_snappy_to_uncompressed_ratio_count	plain_win_plain_snappy_to_uncompressed_ratio_min	plain_win_plain_snappy_to_uncompressed_ratio_median	plain_win_plain_snappy_to_uncompressed_ratio_max	plain_win_rle_dict_snappy_to_uncompressed_ratio_count	plain_win_rle_dict_snappy_to_uncompressed_ratio_min	plain_win_rle_dict_snappy_to_uncompressed_ratio_median	plain_win_rle_dict_snappy_to_uncompressed_ratio_max	rle_dict_win_rle_dict_snappy_to_uncompressed_ratio_count	rle_dict_win_rle_dict_snappy_to_uncompressed_ratio_min	rle_dict_win_rle_dict_snappy_to_uncompressed_ratio_median	rle_dict_win_rle_dict_snappy_to_uncompressed_ratio_max	rle_dict_win_plain_snappy_to_uncompressed_ratio_count	rle_dict_win_plain_snappy_to_uncompressed_ratio_min	rle_dict_win_plain_snappy_to_uncompressed_ratio_median	rle_dict_win_plain_snappy_to_uncompressed_ratio_max
SocialSourceNetworkID	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	204595.000000	6481.000000	0.031677	4003838.000000	0.051100	0.001619	0.049481	0.049481	rle-dict	4695.000000	0.022948	rle-dict	0	0.000000	0	0.000000	204595.000000	6481.000000	4695.000000	0	0	0	0	61	61	121	0.050854	0.051089	0.051456	121	0.001297	0.001599	0.003134	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001297	0.001599	0.003134	121	0.050854	0.051089	0.051456
JavascriptEnable	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	204972.000000	6989.000000	0.034097	4003841.000000	0.051194	0.001746	0.049448	0.049448	rle-dict	5249.000000	0.025608	rle-dict	0	0.000000	0	0.000000	204972.000000	6989.000000	5249.000000	0	0	0	0	61	61	121	0.050924	0.051159	0.052442	121	0.001312	0.001644	0.004320	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001312	0.001644	0.004320	121	0.050924	0.051159	0.052442
BrowserCountry	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	457183.000000	94958.000000	0.207702	7328758.000000	0.062382	0.012957	0.049425	0.049425	rle-dict	91365.000000	0.199843	rle-dict	0	0.000000	0	0.000000	457183.000000	94958.000000	91365.000000	0	0	0	0	61	61	121	0.058352	0.061885	0.071977	121	0.009703	0.012781	0.019640	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.009703	0.012781	0.019640	121	0.058352	0.061885	0.071977
IsDownload	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	206697.000000	8926.000000	0.043184	4003840.000000	0.051625	0.002229	0.049395	0.049395	rle-dict	7317.000000	0.035400	rle-dict	0	0.000000	0	0.000000	206697.000000	8926.000000	7317.000000	0	0	0	0	61	61	121	0.050858	0.051150	0.055719	121	0.001165	0.001405	0.004935	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001165	0.001405	0.004935	121	0.050858	0.051150	0.055719
UTMMedium	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	214394.000000	15927.000000	0.074288	4020163.000000	0.053330	0.003962	0.049368	0.049368	rle-dict	13257.000000	0.061835	rle-dict	0	0.000000	0	0.000000	214394.000000	15927.000000	13257.000000	0	0	0	0	61	61	121	0.050569	0.053528	0.056848	121	0.001095	0.004170	0.007156	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001095	0.004170	0.007156	121	0.050569	0.053528	0.056848
CodeVersion	INT(32,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	205215.000000	7596.000000	0.037015	4003840.000000	0.051255	0.001897	0.049357	0.049357	rle-dict	5747.000000	0.028005	rle-dict	0	0.000000	0	0.000000	205215.000000	7596.000000	5747.000000	0	0	0	0	61	61	121	0.050924	0.051205	0.052455	121	0.001394	0.001852	0.004333	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001394	0.001852	0.004333	121	0.050924	0.051205	0.052455
OpenstatServiceName	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	218529.000000	18081.000000	0.082740	4062845.000000	0.053787	0.004450	0.049337	0.049337	rle-dict	14996.000000	0.068622	rle-dict	0	0.000000	0	0.000000	218529.000000	18081.000000	14996.000000	0	0	0	0	61	61	121	0.051516	0.053577	0.055788	121	0.002271	0.004345	0.007665	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.002271	0.004345	0.007665	121	0.051516	0.053577	0.055788
OpenstatCampaignID	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	214750.000000	16150.000000	0.075204	4025886.000000	0.053342	0.004012	0.049331	0.049331	rle-dict	12533.000000	0.058361	rle-dict	0	0.000000	0	0.000000	214750.000000	16150.000000	12533.000000	0	0	0	0	61	61	121	0.051201	0.053235	0.055949	121	0.001880	0.004147	0.006411	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001880	0.004147	0.006411	121	0.051201	0.053235	0.055949
UTMTerm	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	214577.000000	15789.000000	0.073582	4032973.000000	0.053206	0.003915	0.049291	0.049291	rle-dict	9799.000000	0.045667	rle-dict	0	0.000000	0	0.000000	214577.000000	15789.000000	9799.000000	0	0	0	0	61	61	121	0.050569	0.052808	0.067075	121	0.001095	0.003590	0.020179	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001095	0.003590	0.020179	121	0.050569	0.052808	0.067075
UTMContent	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	212235.000000	14626.000000	0.068914	4016831.000000	0.052836	0.003641	0.049195	0.049195	rle-dict	9090.000000	0.042830	rle-dict	0	0.000000	0	0.000000	212235.000000	14626.000000	9090.000000	0	0	0	0	61	61	121	0.050569	0.052543	0.059640	121	0.001076	0.003298	0.011297	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001076	0.003298	0.011297	121	0.050569	0.052543	0.059640
